,name,address,bedroom,bathroom,area,price/m2,price,description,link
0,Sariwangi,"Sariwangi, Bandung Utara, Bandung, Jawa Barat",2,2,79 m²,Rp 10.696.203 per m²,Rp 845 jt,"""Rumah Baru minimalis sariwangi 800 jt an gerlong setiabudi""",https://www.rumah.com/listing-properti/dijual-sariwangi-oleh-fonna-sylviana-17420256
1,GRAHA AURA KIARASARI,"jl Kiarasari raya permai buahbatu bandung, Kiaracondong, Bandung, Jawa Barat",2,2,50 m²,Rp 14.132.075 per m²,Rp 749 jt,"""Rumah murah di buahbatu banyak bonus dan Diskon""",https://www.rumah.com/listing-properti/dijual-graha-aura-kiarasari-oleh-triana-17395506
2,Puri Dago,"Jl. Jakarta, Antapani, Bandung, Antapani, Bandung, Jawa Barat",2,2,55 m²,Rp 11.090.909 per m²,"Rp 1,098 M","""Dijual Rumah Siap Huni Puri Dago Antapani Arcamanik Cluster Kembar Mas""",https://www.rumah.com/listing-properti/dijual-puri-dago-oleh-yudi-suhara-17432479
3,GRAHA AURA KIARASARI,"JL KIARASARI RAYA BUAHBATU, Bandung Timur, Bandung, Jawa Barat",2,2,50 m²,Rp 13.188.679 per m²,Rp 699 jt,"""Dijual Rumah 2 lantai di Buahbatu harga 699 jt all in""",https://www.rumah.com/listing-properti/dijual-graha-aura-kiarasari-oleh-yudha-17398254
4,aster village ciwastra,"jln.ranca orai, Buahbatu, Bandung, Jawa Barat",2,2,50 m²,Rp 7.116.667 per m²,Rp 427 jt,"""Rumah syari'ah di buahbatu dan ciwastra""",https://www.rumah.com/listing-properti/dijual-aster-village-ciwastra-oleh-edi-hendriyanto-16429517
5,"Jalan Sukajadi, Manggahang Jelekong","Jalan Sukajadi, Manggahang Jelekong, Baleendah, Bandung, Jawa Barat",2,1,45 m²,Rp 1.714.286 per m²,Rp 120 jt,"""Jual Rumah dan Tanah Murah minimalis Bagus Baleendah bandung selatan""",https://www.rumah.com/listing-properti/dijual-jalan-sukajadi-manggahang-jelekong-oleh-arya-surya-kusumah-17438106
6,Rumah SIAP HUNI Harga ISTIMEWA Dekat UPI Cibiru dan Tol Cileunyi,"Cibiru Hilir, Cibiru, Bandung, Jawa Barat",2,1,45 m²,Rp 6.676.923 per m²,Rp 434 jt,"""Rumah murah dekat bunderan Cibiru, 15 menit ke tol Cileunyi""",https://www.rumah.com/listing-properti/dijual-rumah-siap-huni-harga-istimewa-dekat-upi-cibiru-dan-tol-cileunyi-oleh-reza-aggregate-m-y-i-16435493
7,Kawasan Perumahan Cigadung,"Cigadung, Bandung, Jawa Barat",3,1,100 m²,Rp 9.000.000 per m²,"Rp 1,35 M","""Lokasi Mainroad Bisa Untuk Kantor dan Usaha""",https://www.rumah.com/listing-properti/dijual-kawasan-perumahan-cigadung-oleh-new-firman-15578387
8,Rumah Bagus 2lt di Ciganitri dekat Universitas Telkom Buahbatu Bandung,"bojongsoang, Bojongsoang, Bandung, Jawa Barat",5,3,180 m²,Rp 8.564.286 per m²,"Rp 1,199 M","""Rumah Bagus 2lt di Ciganitri dekat Universitas Telkom Buahbatu Bandung""",https://www.rumah.com/listing-properti/dijual-rumah-bagus-2lt-di-ciganitri-dekat-universitas-telkom-buahbatu-bandung-oleh-dewi-yani-17167876
9,Margahayu,"Margahayu, Margahayu, Bandung, Jawa Barat",3,2,80 m²,Rp 10.595.238 per m²,Rp 890 jt,"""Rumah Baru 2lt Nan nyaman di Margahayu Bandung""",https://www.rumah.com/listing-properti/dijual-margahayu-oleh-dewi-yani-16887735
10,Termurah Rumah Baru Taman Cibaduyut Indah tci 3 Type 36,"Bojongloa Kidul, Bandung, Jawa Barat",2,1,36 m²,Rp 6.099.306 per m²,"Rp 439,15 jt","""Rumah Baru Taman Cibaduyut Indah tci 3 Type 36""",https://www.rumah.com/listing-properti/dijual-termurah-rumah-baru-taman-cibaduyut-indah-tci-3-type-36-oleh-david-sudjono-15780224
