iter	Logloss
0	0.6499778961
1	0.6162840004
2	0.5897035764
3	0.5685297503
4	0.5547282847
5	0.5436672776
6	0.5319406723
7	0.5244315903
8	0.518258424
9	0.5113039564
10	0.5059272463
11	0.5019626176
12	0.4995706975
13	0.4974081372
14	0.4941041157
15	0.4921395026
16	0.4908211498
17	0.488813641
18	0.4878311339
19	0.4862634629
20	0.4850198793
21	0.4836029163
22	0.4830092451
23	0.4826436204
24	0.4821320256
25	0.4815630129
26	0.4810801926
27	0.4806912271
28	0.4800119515
29	0.4794144554
30	0.4790673301
31	0.4786416881
32	0.4784153121
33	0.477977009
34	0.4777681658
35	0.4774821821
36	0.4772679448
37	0.4770741244
38	0.476894415
39	0.4767676006
40	0.4763967389
41	0.4762094164
42	0.4760772904
43	0.4758989726
44	0.4757019622
45	0.4756052705
46	0.4753270875
47	0.4752296676
48	0.4751452328
49	0.4750591441
50	0.4749760198
51	0.4748408051
52	0.4748255225
53	0.4746500848
54	0.4745474447
55	0.4744940195
56	0.4744152369
57	0.4742984693
58	0.4742112533
59	0.4740605026
60	0.4740151797
61	0.4739820019
62	0.4738978337
63	0.4738638024
64	0.4737815468
65	0.4737263677
66	0.473694505
67	0.4736322089
68	0.4735103518
69	0.4734721031
70	0.4734195155
71	0.4733497345
72	0.4733218559
73	0.4732112187
74	0.4731154694
75	0.4729839259
76	0.4729319151
77	0.472837709
78	0.4727862067
79	0.4727259489
80	0.4726627304
81	0.4726049454
82	0.4725550684
83	0.4725126955
84	0.4724629343
85	0.4724056575
86	0.4723453212
87	0.472291064
88	0.4722385097
89	0.4721843965
90	0.4720992478
91	0.4720686766
92	0.4720373241
93	0.4719784199
94	0.4719479191
95	0.4719277335
96	0.4718956599
97	0.4718446048
98	0.471800734
99	0.4717633434
100	0.4717311962
101	0.4716944356
102	0.4716215751
103	0.4716038949
104	0.4715468744
105	0.4715231121
106	0.4714928088
107	0.4713745524
108	0.4713530961
109	0.4713204038
110	0.4712913176
111	0.4712404248
112	0.471196549
113	0.4711606148
114	0.471123292
115	0.471104872
116	0.4710881399
117	0.4710636868
118	0.4710130839
119	0.4709894921
120	0.4709716025
121	0.47094943
122	0.4708781962
123	0.4708506417
124	0.4708088941
125	0.4707929396
126	0.4707474363
127	0.470712285
128	0.4706955651
129	0.4706667549
130	0.4706426079
131	0.4706022421
132	0.4705627492
133	0.4705293778
134	0.4704868596
135	0.470458419
136	0.4704307167
137	0.4703853534
138	0.470349508
139	0.4702852069
140	0.4702330648
141	0.4701948992
142	0.4701631861
143	0.4701417388
144	0.4701205879
145	0.470047205
146	0.4699890491
147	0.469941328
148	0.4699131612
149	0.4698678317
150	0.4698129935
151	0.469774371
152	0.4697366049
153	0.4697031462
154	0.4696792045
155	0.4696286465
156	0.4695863315
157	0.469560912
158	0.4694973594
159	0.4694578504
160	0.4694192953
161	0.4693922254
162	0.4693784097
163	0.4693402371
164	0.4693104393
165	0.4692811832
166	0.469249749
167	0.4692200926
168	0.469171117
169	0.4691334593
170	0.4691019781
171	0.4690672715
172	0.4690256946
173	0.4689790785
174	0.4689537644
175	0.46892315
176	0.4688806187
177	0.4688402957
178	0.4687991011
179	0.4687413275
180	0.4686963522
181	0.4686612933
182	0.4686151512
183	0.4685644803
184	0.4685237731
185	0.4684914745
186	0.4684679344
187	0.4684268178
188	0.4684059729
189	0.4683606757
190	0.4683223923
191	0.4682947198
192	0.4682539072
193	0.4682296333
194	0.468202655
195	0.4681768535
196	0.4681354025
197	0.4681086381
198	0.4680736939
199	0.4680368347
200	0.4680120683
201	0.4679804864
202	0.4679580506
203	0.4679253862
204	0.4678948228
205	0.4678691511
206	0.4678527225
207	0.4678268632
208	0.4677994362
209	0.4677673997
210	0.4677260014
211	0.4676945808
212	0.467666524
213	0.4676385669
214	0.4676146456
215	0.4675961774
216	0.4675600357
217	0.4675218638
218	0.4674984544
219	0.4674651166
220	0.4674305989
221	0.4674150053
222	0.4673860213
223	0.4673567471
224	0.4673427501
225	0.4673061706
226	0.4672884254
227	0.4672699731
228	0.4672504743
229	0.46723559
230	0.4672137134
231	0.4671787213
232	0.4671384858
233	0.4670964411
234	0.4670581579
235	0.4670267966
236	0.4670013196
237	0.4669697111
238	0.4669418592
239	0.4669136067
240	0.4668985905
241	0.4668713111
242	0.4668414473
243	0.4668097776
244	0.4667965631
245	0.4667749546
246	0.4667518836
247	0.4667159435
248	0.4666896642
249	0.4666559085
250	0.4666386323
251	0.4666161311
252	0.4665849318
253	0.4665662722
254	0.4665368146
255	0.4665096852
256	0.4664716848
257	0.4664429541
258	0.4664236903
259	0.4663946786
260	0.4663614311
261	0.4663277528
262	0.4663070267
263	0.4662735092
264	0.466245746
265	0.4662249143
266	0.466197559
267	0.4661640252
268	0.4661240981
269	0.4661053274
270	0.4660750331
271	0.4660627117
272	0.4660445778
273	0.466014733
274	0.4659813275
275	0.4659475916
276	0.4659235004
277	0.4658974876
278	0.4658610533
279	0.4658454797
280	0.4657991715
281	0.4657776693
282	0.4657575597
283	0.4657239527
284	0.4656872642
285	0.4656616863
286	0.4656421471
287	0.4656311906
288	0.4656229905
289	0.4656097873
290	0.4655806087
291	0.4655497869
292	0.4655309133
293	0.4654979481
294	0.465473651
295	0.465448775
296	0.4654307969
297	0.4654039741
298	0.4653786073
299	0.4653631458
300	0.4653472608
301	0.465322399
302	0.4653016058
303	0.4652778468
304	0.4652544093
305	0.4652411052
306	0.4652174334
307	0.465172585
308	0.46513842
309	0.4651149911
310	0.4650861977
311	0.4650732478
312	0.4650604488
313	0.4650351526
314	0.4650036685
315	0.4649713622
316	0.4649508636
317	0.4649252904
318	0.4649058933
319	0.4648800628
320	0.4648587076
321	0.4648313469
322	0.4648010608
323	0.4647808678
324	0.4647497012
325	0.4647325313
326	0.464724582
327	0.4646935633
328	0.4646845232
329	0.4646672789
330	0.4646519163
331	0.4646367228
332	0.4646067641
333	0.4645830145
334	0.4645703969
335	0.4645439981
336	0.4645296072
337	0.4645149527
338	0.4644966398
339	0.4644756556
340	0.46445578
341	0.4644285956
342	0.4644031826
343	0.4643709482
344	0.464355188
345	0.4643408094
346	0.4643219656
347	0.4642985608
348	0.4642703608
349	0.464250183
350	0.4642265593
351	0.4642065116
352	0.4641789299
353	0.4641594961
354	0.4641363206
355	0.4641090822
356	0.4640836805
357	0.4640774313
358	0.4640524111
359	0.4640192725
360	0.4640062916
361	0.4639831328
362	0.4639604866
363	0.4639382086
364	0.4639250885
365	0.4639093549
366	0.4638834403
367	0.4638671332
368	0.4638463053
369	0.4638267427
370	0.4637965667
371	0.4637749887
372	0.4637368781
373	0.4636952325
374	0.4636867205
375	0.463667224
376	0.4636491511
377	0.4636350401
378	0.4636131759
379	0.4635961025
380	0.4635791785
381	0.4635649689
382	0.4635537456
383	0.4635307121
384	0.463512411
385	0.4634927151
386	0.4634754359
387	0.4634564044
388	0.4634266653
389	0.4634178418
390	0.4633989294
391	0.4633928529
392	0.4633727328
393	0.4633498507
394	0.4633350243
395	0.4633169281
396	0.4633051009
397	0.4632826976
398	0.4632529451
399	0.4632243227
400	0.463199582
401	0.4631877918
402	0.4631682884
403	0.4631523717
404	0.4631277782
405	0.4631076557
406	0.4631004415
407	0.4630852753
408	0.4630680957
409	0.4630524894
410	0.4630459061
411	0.463026974
412	0.4630145139
413	0.4629797183
414	0.462967169
415	0.4629285156
416	0.4629177461
417	0.4628943752
418	0.4628688509
419	0.4628574416
420	0.4628418603
421	0.4628143984
422	0.4628090748
423	0.4627885305
424	0.4627813238
425	0.4627638565
426	0.4627451512
427	0.4627239464
428	0.4626877976
429	0.4626648406
430	0.462651311
431	0.4626451966
432	0.4626263363
433	0.4626080478
434	0.4626003043
435	0.4625924072
436	0.4625676301
437	0.4625415321
438	0.46252697
439	0.4625133616
440	0.4624901476
441	0.4624659071
442	0.4624428623
443	0.4624253
444	0.4623998989
445	0.4623780681
446	0.4623591607
447	0.4623416067
448	0.4623305262
449	0.4623171323
450	0.4622995981
451	0.4622910587
452	0.4622737115
453	0.4622671009
454	0.4622579895
455	0.4622361208
456	0.4622202843
457	0.4622082383
458	0.4621953414
459	0.4621516306
460	0.4621273023
461	0.4621134391
462	0.4620813486
463	0.4620614715
464	0.4620538914
465	0.4620336857
466	0.4620123986
467	0.4619955784
468	0.4619802098
469	0.4619648504
470	0.4619482568
471	0.4619255649
472	0.4619101218
473	0.4618989001
474	0.461883478
475	0.4618541296
476	0.4618500008
477	0.4618433691
478	0.4618250868
479	0.4618172958
480	0.4617948775
481	0.4617682757
482	0.4617497615
483	0.4617379909
484	0.4617211134
485	0.4617118141
486	0.4616875053
487	0.4616604645
488	0.4616369051
489	0.4616032014
490	0.4615904034
491	0.4615678566
492	0.4615500588
493	0.461539253
494	0.4615241344
495	0.4615137419
496	0.4614942324
497	0.4614800357
498	0.4614569833
499	0.4614324993
500	0.4614228274
501	0.4613998716
502	0.4613795533
503	0.4613617142
504	0.4613348061
505	0.4613241065
506	0.4613117011
507	0.461298866
508	0.4612747059
509	0.4612452375
510	0.4612286624
511	0.4612052585
512	0.4611692255
513	0.4611551645
514	0.4611205633
515	0.4611079917
516	0.4610866342
517	0.4610775075
518	0.4610548315
519	0.4610322935
520	0.4610287693
521	0.461012238
522	0.4609929678
523	0.4609747333
524	0.4609554647
525	0.4609248039
526	0.4609089898
527	0.4608902221
528	0.4608780536
529	0.4608735091
530	0.4608566823
531	0.4608356076
532	0.4608162893
533	0.4608127168
534	0.4607954189
535	0.460786663
536	0.4607692006
537	0.4607608987
538	0.4607465213
539	0.4607309333
540	0.4607255766
541	0.4607142764
542	0.460696329
543	0.4606721875
544	0.4606549647
545	0.4606410664
546	0.460624025
547	0.4606012749
548	0.4605854107
549	0.4605680779
550	0.4605485983
551	0.4605359148
552	0.4605152191
553	0.4605018557
554	0.4604875603
555	0.4604831785
556	0.460468952
557	0.460456212
558	0.4604375023
559	0.4604257668
560	0.4604158614
561	0.460400473
562	0.4603878373
563	0.4603805765
564	0.4603646834
565	0.4603413721
566	0.4603268191
567	0.4603078574
568	0.4602921567
569	0.4602691026
570	0.4602550461
571	0.4602521016
572	0.4602418954
573	0.460233872
574	0.4602209146
575	0.4602041313
576	0.46018272
577	0.4601675466
578	0.4601535655
579	0.4601366229
580	0.4601197374
581	0.4600977207
582	0.4600874618
583	0.4600706561
584	0.4600546718
585	0.4600513549
586	0.4600420226
587	0.4600337248
588	0.460012308
589	0.460008832
590	0.4599978865
591	0.4599711739
592	0.45996196
593	0.4599408683
594	0.4599133647
595	0.4598961412
596	0.4598636357
597	0.4598473527
598	0.4598336544
599	0.4598117322
600	0.4597993436
601	0.4597790864
602	0.4597761876
603	0.4597596657
604	0.4597479652
605	0.4597364301
606	0.4597197692
607	0.4596992409
608	0.4596745882
609	0.4596582425
610	0.4596444228
611	0.4596277137
612	0.4596069892
613	0.4595866928
614	0.459569314
615	0.4595623947
616	0.4595483635
617	0.4595382048
618	0.4595248656
619	0.4595007523
620	0.4594673277
621	0.4594453188
622	0.4594280012
623	0.459408819
624	0.4593978192
625	0.4593807306
626	0.4593618966
627	0.4593473352
628	0.4593241757
629	0.4593128898
630	0.4592922419
631	0.4592840886
632	0.4592757633
633	0.4592692777
634	0.4592601986
635	0.4592277241
636	0.4592168587
637	0.45918752
638	0.4591643048
639	0.459157652
640	0.4591546581
641	0.4591391873
642	0.4591150353
643	0.4591070175
644	0.4590852474
645	0.4590722998
646	0.4590646249
647	0.4590509665
648	0.4590423339
649	0.4590367104
650	0.4590274656
651	0.4590086133
652	0.4589892588
653	0.4589795469
654	0.4589685193
655	0.4589386422
656	0.4589311109
657	0.4589157595
658	0.4589022094
659	0.4588911242
660	0.4588794983
661	0.4588655499
662	0.4588475104
663	0.4588300968
664	0.4588241841
665	0.4588061161
666	0.4587885936
667	0.4587857747
668	0.4587674453
669	0.4587458599
670	0.4587282077
671	0.4587075585
672	0.4587041393
673	0.458689201
674	0.458679769
675	0.4586548684
676	0.4586346395
677	0.4586130662
678	0.4586127971
679	0.4585932475
680	0.4585870683
681	0.4585667417
