iter	Passed	Remaining
0	340	339801
1	428	213758
2	505	168141
3	588	146576
4	674	134262
5	756	125252
6	846	120048
7	926	114928
8	1004	110647
9	1077	106684
10	1165	104745
11	1237	101914
12	1305	99140
13	1378	97087
14	1464	96180
15	1539	94689
16	1621	93738
17	1696	92556
18	1779	91859
19	1861	91191
20	1940	90483
21	2007	89231
22	2088	88715
23	2160	87840
24	2235	87198
25	2341	87710
26	2456	88538
27	2587	89817
28	2717	90993
29	2862	92567
30	3009	94075
31	3159	95581
32	3283	96216
33	3396	96487
34	3495	96380
35	3573	95697
36	3652	95062
37	3736	94600
38	3813	93969
39	3889	93345
40	3969	92837
41	4041	92188
42	4123	91762
43	4199	91232
44	4291	91085
45	4376	90754
46	4470	90641
47	4552	90289
48	4647	90205
49	4743	90123
50	4822	89739
51	4902	89367
52	4952	88497
53	5040	88298
54	5120	87974
55	5189	87482
56	5265	87105
57	5338	86698
58	5414	86362
59	5493	86058
60	5566	85683
61	5640	85327
62	5719	85059
63	5798	84806
64	5879	84579
65	5953	84252
66	6035	84044
67	6120	83884
68	6199	83650
69	6312	83863
70	6419	83998
71	6510	83909
72	6597	83776
73	6679	83583
74	6769	83491
75	6869	83519
76	6988	83766
77	7097	83901
78	7219	84171
79	7328	84279
80	7413	84110
81	7511	84097
82	7625	84243
83	7717	84153
84	7811	84092
85	7918	84153
86	8025	84216
87	8122	84181
88	8232	84269
89	8362	84554
90	8493	84844
91	8622	85098
92	8747	85307
93	8885	85641
94	9027	85996
95	9173	86384
96	9296	86544
97	9403	86551
98	9511	86561
99	9609	86486
100	9718	86508
101	9817	86436
102	9917	86365
103	10013	86268
104	10125	86305
105	10230	86279
106	10338	86281
107	10449	86301
108	10564	86356
109	10673	86356
110	10773	86281
111	10876	86235
112	10979	86182
113	11091	86199
114	11191	86125
115	11280	85964
116	11373	85839
117	11463	85682
118	11553	85534
119	11631	85298
120	11720	85141
121	11797	84901
122	11885	84742
123	11957	84476
124	12029	84208
125	12101	83940
126	12173	83682
127	12249	83453
128	12320	83190
129	12401	82995
130	12470	82721
131	12541	82470
132	12611	82209
133	12684	81974
134	12760	81761
135	12837	81554
136	12923	81410
137	12995	81172
138	13067	80942
139	13142	80730
140	13225	80574
141	13299	80357
142	13369	80122
143	13437	79881
144	13509	79656
145	13592	79509
146	13703	79516
147	13810	79502
148	13906	79425
149	13993	79296
150	14079	79160
151	14170	79057
152	14250	78889
153	14387	79037
154	14506	79084
155	14631	79162
156	14757	79237
157	14883	79315
158	15025	79477
159	15154	79558
160	15264	79547
161	15371	79514
162	15442	79295
163	15526	79147
164	15613	79015
165	15700	78881
166	15786	78744
167	15866	78574
168	15953	78443
169	16036	78297
170	16125	78176
171	16207	78024
172	16283	77841
173	16357	77648
174	16431	77461
175	16500	77253
176	16581	77099
177	16656	76918
178	16732	76743
179	16802	76545
180	16882	76391
181	16973	76288
182	17052	76131
183	17125	75948
184	17216	75843
185	17300	75712
186	17387	75595
187	17470	75457
188	17567	75381
189	17665	75312
190	17739	75137
191	17820	74993
192	17908	74882
193	17982	74709
194	18050	74517
195	18126	74355
196	18197	74175
197	18271	74007
198	18399	74059
199	18502	74008
200	18616	74003
201	18719	73950
202	18839	73966
203	18944	73921
204	19044	73854
205	19129	73733
206	19196	73541
207	19273	73386
208	19356	73259
209	19426	73082
210	19498	72911
211	19574	72759
212	19649	72602
213	19733	72480
214	19810	72330
215	19918	72298
216	20061	72389
217	20162	72326
218	20269	72283
219	20399	72323
