Kelurahan,Kode Pos,Kecamatan,Jumlah penduduk,Kepadatan /km2,luas(km)
Campaka,40184,Andir,17534,27396.875,0.64
Ciroyom,40182,Andir,20588,34313.33333,0.6
Dungus Cariang,40183,Andir,16137,23386.95652,0.69
Garuda,40184,Andir,11761,26135.55556,0.45
Kebon Jeruk,40181,Andir,14292,17865,0.8
Maleber,40184,Andir,22663,42760.37736,0.53
Antapani Kidul,40291,Antapani,23459,24050.64589,0.9754
Antapani Kulon,40291,Antapani,8957,9428.421053,0.95
Antapani Tengah,40291,Antapani,23255,25005,0.93
Antapani Wetan,40291,Antapani,18323,15933.04348,1.15
Cisaranten Bina harapan,40294,Arcamanik,12532,10252.80209,1.2223
Cisaranten Endah,40293,Arcamanik,18558,17505.89567,1.0601
Cisaranten Kulon,40293,Arcamanik,18602,10160.03059,1.8309
Sukamiskin,40293,Arcamanik,19215,9795.575041,1.9616
Cibadak,40241,Astanaanyar,14645,30961,
Karang Anyar,40241,Astanaanyar,7382,17369,
Karasak,40243,Astanaanyar,12054,21718,
Nyengseret,40242,Astanaanyar,11137,29307,
Panjunan,40242,Astanaanyar,6907,18923,
Pelindung Hewan,40243,Astanaanyar,12990,21831,
Babakan,40222,Babakanciparay,28466,24676,
Babakan Ciparay,40223,Babakanciparay,23154,16756,
Cirangrang,40227,Babakanciparay,8415,6424,
Margahayu Utara,40224,Babakanciparay,17100,16286,
Margasuka,40225,Babakanciparay,9600,5957,
Sukahaji,40221,Babakanciparay,23030,24422,
Batununggal,40266,Bandung Kidul,19816,4883,
Kujangsari,40287,Bandung Kidul,18765,7259,
Mengger,40267,Bandung Kidul,10102,10873,
Wates,40256,Bandung Kidul,7468,14270,
Caringin,40212,Bandung Kulon,10702,17836,
Cibuntu,40212,Bandung Kulon,16408,21589,
Cigondewah Kaler,40214,Bandung Kulon,20880,14914,
Cigondewah Kidul,40214,Bandung Kulon,9488,15813,
Cigondewah Rahayu,40215,Bandung Kulon,10752,20676,
Cijerah,40213,Bandung Kulon,23997,27903,
Gempol Sari,40215,Bandung Kulon,25012,24283,
Warung Muncang,40211,Bandung Kulon,24996,35708,
Cihapit,40114,Bandung Wetan,7085,3542.5,2
Citarum,40115,Bandung Wetan,4616,2481.72043,1.86
Taman Sari,40116,Bandung Wetan,26269,15824.6988,1.66
Binong,40275,Batununggal,15518,21552,
Cibangkong,40273,Batununggal,17608,27512,
Gumuruh,40275,Batununggal,18564,19337,
Kacapiring,40271,Batununggal,8123,10414,
Kebon Gedang,40274,Batununggal,11110,38310,
Kebon Waru,40272,Batununggal,15382,16022,
Maleer,40274,Batununggal,12355,32513,
Samoja,40273,Batununggal,15163,28079,
Babakan Asih,40232,Bojongloa Kaler,14734,61136.92946,0.241
Babakan Tarogong,40232,Bojongloa Kaler,24157,44570.1107,0.542
Jamika,40231,Bojongloa Kaler,31240,57851.85185,0.54
Kopo,40233,Bojongloa Kaler,31227,38081.70732,0.82
Suka Asih,40233,Bojongloa Kaler,21229,23075,0.92
Cibaduyut,40236,Bojongloa Kidul,10325,15608,
Cibaduyut Kidul,40239,Bojongloa Kidul,7437,12529,
Cibaduyut Wetan,40238,Bojongloa Kidul,6225,6340,
Kebon Lega,40235,Bojongloa Kidul,23636,21487,
Mekar Wangi,40237,Bojongloa Kidul,9268,7207,
Situsaeur,40234,Bojongloa Kidul,19917,27782,
Cijaura,40287,Buahbatu,22184,18487,
Jati Sari,40286,Buahbatu,9456,6304,
Margasari,40286,Buahbatu,36024,12866,
Sekejati,40286,Buahbatu,25661,13159,
